GeneSymbol,T.8Nve #1,T.8Nve#2
AC002460.2,14,3
AC002461.1,0,0
AC002463.1,21,3
AC002464.1,0,0
AC002465.1,0,0
AC002467.1,8,13
AC002470.1,3,0
AC002470.2,0,0
AC002472.1,0,0
AC002472.2,0,0
AC002472.3,0,0
AC002472.4,0,0
AC002480.1,0,0
AC002480.2,0,0
AC002486.1,0,0
AC002486.2,0,0
AC002487.1,0,0
AC002504.1,0,0
AC002511.1,0,0
AC002511.2,0,0
AC002511.3,0,0
AC002519.1,0,0
AC002519.2,0,0
AC002524.1,0,0
AC002525.1,0,1
AC002529.1,0,0
AC002540.1,0,0
AC002542.1,0,0
AC002542.2,0,0
AC002542.3,0,0
AC002542.4,0,0
AC002542.5,0,0
AC002542.6,0,1
AC002543.1,3,16
AC002543.2,0,0
AC002545.1,0,0
AC002546.1,6,22
AC002550.1,0,0
AC002550.2,0,1
AC002551.1,4,0
AC002553.1,20,7
AC002553.2,2,2
AC002558.1,17,11
AC002558.2,3,2
AC002558.3,12,18
AC002563.1,0,0
AC002980.1,0,0
AC002981.1,0,0
AC002984.1,0,0
AC002985.1,0,0
AC002996.1,0,0
AC003001.1,0,0
AC003001.2,0,0
AC003002.1,0,0
AC003002.2,0,2
AC003002.3,2,0
AC003005.1,0,0
AC003005.2,0,0
AC003006.1,0,0
AC003009.1,1,0
AC003035.1,4,0
AC003035.2,0,0
AC003043.1,0,0
AC003043.2,1,0
AC003043.3,1,0
AC003044.1,0,0
AC003070.1,13,9
AC003070.2,0,0
AC003071.1,0,0
AC003072.1,8,9
AC003072.2,0,0
AC003077.1,0,0
AC003080.1,0,0
AC003084.1,0,0
AC003086.1,0,0
AC003087.1,0,0
AC003092.1,0,0
AC003092.2,0,0
AC003093.1,1,0
AC003098.1,0,0
AC003101.1,0,0
AC003101.2,0,0
AC003101.3,0,0
AC003102.1,145,169
AC003109.1,0,0
AC003657.1,0,3
AC003657.2,0,0
AC003659.1,0,0
AC003666.1,0,0
AC003669.1,0,0
AC003681.1,73,104
AC003682.1,0,0
AC003684.1,1,0
AC003685.1,0,0
AC003685.2,0,0
AC003686.1,0,0
AC003687.1,0,1
AC003688.1,0,0
AC003688.2,0,0
AC003688.3,0,2
AC003950.1,0,0
AC003956.1,1,3
AC003957.1,0,1
AC003958.1,0,0
AC003958.2,0,0
AC003965.1,0,0
AC003965.2,0,0
AC003973.1,3,0
AC003973.2,0,0
AC003975.1,0,0
AC003982.1,0,0
AC003984.1,0,0
AC003985.1,0,0
AC003986.1,0,0
AC003986.2,0,0
AC003986.3,1,0
AC003988.1,0,0
AC003989.1,0,3
AC003989.2,0,1
AC003991.1,0,2
AC003991.2,1,2
AC003992.1,0,0
AC004000.1,8,0
AC004004.1,0,0
AC004006.1,0,0
AC004009.1,2,0
AC004009.2,0,0
AC004009.3,0,0
AC004012.1,0,0
AC004014.1,0,0
AC004014.2,0,0
AC004022.1,0,0
AC004022.2,1,0
AC004023.1,0,0
AC004024.1,1,5
AC004034.1,0,2
AC004039.1,5,7
AC004047.1,1,0
AC004052.1,1,1
AC004053.1,0,2
AC004054.1,0,0
AC004057.1,0,0
AC004062.1,0,0
AC004063.1,1,1
AC004066.1,0,0
AC004067.1,26,28
AC004069.1,3,0
AC004069.2,0,0
